titulo,abstract,apa,images,url
Conscientização Through Graffiti Literacies in the Streets of a São Paulo Neighborhood: An Ecosocial Semiotic Perspective,"Investigación relacionada a la identidad de barrio construida a partir de los códigos del graffiti","Teixeira da Silva, Maria Lucia (2011)",http://2.bp.blogspot.com/-FSsSjnQayVM/T27EI-Hqa_I/AAAAAAAAB0Y/Aj3ovqO3Aqw/s1600/vila+madalena+sao+paulo+graffiti.jpg,"Arte Callejero, Identidad de Barrio, Graffiti, Brasil"
ESTÉTICA POPULAR Y ESPACIO URBANO El papel del graffiti en la configuración de la personalidad de barrio,"Investigación sobre los Escritores de la Calle en Madrid y su relación sobre la construcción urbana del espacio","Figueroa-Saavedra, Fernando (2007)",https://www.lovelystreets.com/blog/wp-content/uploads/2016/03/okuda-_y_rosh_street_art_madrid-854x569.jpg,"Madrid, Street Art, Graffiti, Espacio Urbano"
RETRATOS TERRITORIALES Intervención del espacio público como contenedor de circuitos expositivos de personajes populares,"Realización de un mural a partir del imaginario del Barrio y con la participación de los vecinos.","Correa Nanco, A. (2014)",https://upload.wikimedia.org/wikipedia/commons/6/6b/Chile_-_Puerto_Montt_28_-_street_art_%286837459982%29.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
"ESPACIO, segregación y arte urbano en Brasil","Investigación social sobre la incidencia del Graffiti en la segregación social","Caldeira, Teresa (2010)",http://graffiti.fatcap.com/5494/opct_b9b2c042a86da08a4ea9a2d600b5598c3d34e7c7.jpg,"Arte Callejero, Segregación, Graffiti, Brasil"
INTI editorial Ocholibros,"Libro recopilatorio de los trabajos que a realizado Inti a lo largo de los 20 años de su carrera.","Castro, Inti (2013)",http://dope.cl/dope2013/wp-content/uploads/2013/11/01INTI_LosMurosHablan_PuertoRico_2013.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
ARTE CALLEJERO en Chile,"Rod Palmer repasa el panorama del arte urbano chileno a través de una recopilación de fotografías.","Palmer, Rod (2008)",http://www.revistaintemperie.cl/wp-content/uploads/2012/03/arte.png,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
